Datum;Eroeffnung;Hoch;Tief;Schluss;Performance;Volumen;Abstand Hoch/Tief
05.01.70;628.48;628.48;628.48;628.48;-0.10 %;0;0.00
06.01.70;622.38;622.38;622.38;622.38;-0.97 %;0;0.00
07.01.70;623.38;623.38;623.38;623.38;+0.16 %;0;0.00
08.01.70;623.83;623.83;623.83;623.83;+0.07 %;0;0.00
09.01.70;618.70;618.70;618.70;618.70;-0.82 %;0;0.00
12.01.70;612.89;612.89;612.89;612.89;-0.94 %;0;0.00
13.01.70;607.28;607.28;607.28;607.28;-0.92 %;0;0.00
14.01.70;602.11;602.11;602.11;602.11;-0.85 %;0;0.00
15.01.70;591.69;591.69;591.69;591.69;-1.73 %;0;0.00
16.01.70;581.76;581.76;581.76;581.76;-1.68 %;0;0.00
19.01.70;579.79;579.79;579.79;579.79;-0.34 %;0;0.00
20.01.70;580.76;580.76;580.76;580.76;+0.17 %;0;0.00
21.01.70;590.17;590.17;590.17;590.17;+1.62 %;0;0.00
22.01.70;592.92;592.92;592.92;592.92;+0.47 %;0;0.00
23.01.70;590.17;590.17;590.17;590.17;-0.46 %;0;0.00
26.01.70;590.84;590.84;590.84;590.84;+0.11 %;0;0.00
27.01.70;592.55;592.55;592.55;592.55;+0.29 %;0;0.00
28.01.70;593.33;593.33;593.33;593.33;+0.13 %;0;0.00
29.01.70;584.52;584.52;584.52;584.52;-1.48 %;0;0.00
30.01.70;582.17;582.17;582.17;582.17;-0.40 %;0;0.00
02.02.70;574.55;574.55;574.55;574.55;-1.31 %;0;0.00
03.02.70;571.65;571.65;571.65;571.65;-0.50 %;0;0.00
04.02.70;575.96;575.96;575.96;575.96;+0.75 %;0;0.00
05.02.70;576.22;576.22;576.22;576.22;+0.05 %;0;0.00
06.02.70;583.55;583.55;583.55;583.55;+1.27 %;0;0.00
09.02.70;585.48;585.48;585.48;585.48;+0.33 %;0;0.00
11.02.70;580.98;580.98;580.98;580.98;-0.77 %;0;0.00
12.02.70;582.51;582.51;582.51;582.51;+0.26 %;0;0.00
13.02.70;580.39;580.39;580.39;580.39;-0.36 %;0;0.00
16.02.70;576.37;576.37;576.37;576.37;-0.69 %;0;0.00
17.02.70;576.41;576.41;576.41;576.41;+0.01 %;0;0.00
18.02.70;571.31;571.31;571.31;571.31;-0.88 %;0;0.00
19.02.70;576.48;576.48;576.48;576.48;+0.90 %;0;0.00
20.02.70;576.04;576.04;576.04;576.04;-0.08 %;0;0.00
23.02.70;577.41;577.41;577.41;577.41;+0.24 %;0;0.00
24.02.70;575.11;575.11;575.11;575.11;-0.40 %;0;0.00
25.02.70;569.79;569.79;569.79;569.79;-0.93 %;0;0.00
26.02.70;567.63;567.63;567.63;567.63;-0.38 %;0;0.00
27.02.70;564.54;564.54;564.54;564.54;-0.54 %;0;0.00
02.03.70;558.59;558.59;558.59;558.59;-1.05 %;0;0.00
03.03.70;549.37;549.37;549.37;549.37;-1.65 %;0;0.00
04.03.70;553.39;553.39;553.39;553.39;+0.73 %;0;0.00
05.03.70;558.70;558.70;558.70;558.70;+0.96 %;0;0.00
06.03.70;561.27;561.27;561.27;561.27;+0.46 %;0;0.00
09.03.70;551.04;551.04;551.04;551.04;-1.82 %;0;0.00
10.03.70;555.10;555.10;555.10;555.10;+0.74 %;0;0.00
11.03.70;560.01;560.01;560.01;560.01;+0.88 %;0;0.00
12.03.70;568.52;568.52;568.52;568.52;+1.52 %;0;0.00
13.03.70;575.25;575.25;575.25;575.25;+1.18 %;0;0.00
16.03.70;569.45;569.45;569.45;569.45;-1.01 %;0;0.00
17.03.70;570.12;570.12;570.12;570.12;+0.12 %;0;0.00
18.03.70;569.42;569.42;569.42;569.42;-0.12 %;0;0.00
19.03.70;563.61;563.61;563.61;563.61;-1.02 %;0;0.00
20.03.70;560.94;560.94;560.94;560.94;-0.47 %;0;0.00
23.03.70;557.44;557.44;557.44;557.44;-0.62 %;0;0.00
24.03.70;559.19;559.19;559.19;559.19;+0.31 %;0;0.00
25.03.70;560.38;560.38;560.38;560.38;+0.21 %;0;0.00
26.03.70;567.00;567.00;567.00;567.00;+1.18 %;0;0.00
31.03.70;572.65;572.65;572.65;572.65;+1.00 %;0;0.00
01.04.70;573.92;573.92;573.92;573.92;+0.22 %;0;0.00
02.04.70;574.62;574.62;574.62;574.62;+0.12 %;0;0.00
03.04.70;571.76;571.76;571.76;571.76;-0.50 %;0;0.00
06.04.70;572.76;572.76;572.76;572.76;+0.17 %;0;0.00
07.04.70;579.61;579.61;579.61;579.61;+1.20 %;0;0.00
08.04.70;582.66;582.66;582.66;582.66;+0.53 %;0;0.00
09.04.70;581.24;581.24;581.24;581.24;-0.24 %;0;0.00
10.04.70;580.46;580.46;580.46;580.46;-0.13 %;0;0.00
13.04.70;575.89;575.89;575.89;575.89;-0.79 %;0;0.00
14.04.70;567.15;567.15;567.15;567.15;-1.52 %;0;0.00
15.04.70;574.47;574.47;574.47;574.47;+1.29 %;0;0.00
16.04.70;571.13;571.13;571.13;571.13;-0.58 %;0;0.00
17.04.70;561.75;561.75;561.75;561.75;-1.64 %;0;0.00
20.04.70;562.31;562.31;562.31;562.31;+0.10 %;0;0.00
21.04.70;566.92;566.92;566.92;566.92;+0.82 %;0;0.00
22.04.70;562.16;562.16;562.16;562.16;-0.84 %;0;0.00
23.04.70;558.26;558.26;558.26;558.26;-0.69 %;0;0.00
24.04.70;550.86;550.86;550.86;550.86;-1.33 %;0;0.00
27.04.70;540.81;540.81;540.81;540.81;-1.82 %;0;0.00
28.04.70;532.59;532.59;532.59;532.59;-1.52 %;0;0.00
29.04.70;524.11;524.11;524.11;524.11;-1.59 %;0;0.00
30.04.70;532.89;532.89;532.89;532.89;+1.68 %;0;0.00
04.05.70;530.81;530.81;530.81;530.81;-0.39 %;0;0.00
05.05.70;532.74;532.74;532.74;532.74;+0.36 %;0;0.00
06.05.70;537.50;537.50;537.50;537.50;+0.89 %;0;0.00
08.05.70;534.79;534.79;534.79;534.79;-0.50 %;0;0.00
11.05.70;527.31;527.31;527.31;527.31;-1.40 %;0;0.00
12.05.70;520.99;520.99;520.99;520.99;-1.20 %;0;0.00
13.05.70;510.99;510.99;510.99;510.99;-1.92 %;0;0.00
14.05.70;502.32;502.32;502.32;502.32;-1.70 %;0;0.00
15.05.70;494.03;494.03;494.03;494.03;-1.65 %;0;0.00
19.05.70;491.24;491.24;491.24;491.24;-0.56 %;0;0.00
20.05.70;479.82;479.82;479.82;479.82;-2.32 %;0;0.00
21.05.70;467.81;467.81;467.81;467.81;-2.50 %;0;0.00
22.05.70;467.17;467.17;467.17;467.17;-0.14 %;0;0.00
25.05.70;459.66;459.66;459.66;459.66;-1.61 %;0;0.00
26.05.70;445.86;445.86;445.86;445.86;-3.00 %;0;0.00
27.05.70;444.60;444.60;444.60;444.60;-0.28 %;0;0.00
29.05.70;485.84;485.84;485.84;485.84;+9.28 %;0;0.00
01.06.70;473.79;473.79;473.79;473.79;-2.48 %;0;0.00
02.06.70;487.41;487.41;487.41;487.41;+2.87 %;0;0.00
03.06.70;493.99;493.99;493.99;493.99;+1.35 %;0;0.00
04.06.70;498.23;498.23;498.23;498.23;+0.86 %;0;0.00
05.06.70;483.91;483.91;483.91;483.91;-2.87 %;0;0.00
08.06.70;480.97;480.97;480.97;480.97;-0.61 %;0;0.00
09.06.70;485.77;485.77;485.77;485.77;+1.00 %;0;0.00
10.06.70;484.43;484.43;484.43;484.43;-0.28 %;0;0.00
11.06.70;490.38;490.38;490.38;490.38;+1.23 %;0;0.00
12.06.70;492.05;492.05;492.05;492.05;+0.34 %;0;0.00
15.06.70;489.79;489.79;489.79;489.79;-0.46 %;0;0.00
16.06.70;489.08;489.08;489.08;489.08;-0.14 %;0;0.00
18.06.70;483.72;483.72;483.72;483.72;-1.10 %;0;0.00
19.06.70;483.95;483.95;483.95;483.95;+0.05 %;0;0.00
22.06.70;482.20;482.20;482.20;482.20;-0.36 %;0;0.00
23.06.70;476.55;476.55;476.55;476.55;-1.17 %;0;0.00
24.06.70;467.73;467.73;467.73;467.73;-1.85 %;0;0.00
25.06.70;469.81;469.81;469.81;469.81;+0.44 %;0;0.00
26.06.70;470.97;470.97;470.97;470.97;+0.25 %;0;0.00
29.06.70;464.79;464.79;464.79;464.79;-1.31 %;0;0.00
30.06.70;464.83;464.83;464.83;464.83;+0.01 %;0;0.00
01.07.70;466.24;466.24;466.24;466.24;+0.30 %;0;0.00
02.07.70;463.42;463.42;463.42;463.42;-0.60 %;0;0.00
03.07.70;461.56;461.56;461.56;461.56;-0.40 %;0;0.00
06.07.70;457.54;457.54;457.54;457.54;-0.87 %;0;0.00
07.07.70;455.87;455.87;455.87;455.87;-0.36 %;0;0.00
08.07.70;469.85;469.85;469.85;469.85;+3.07 %;0;0.00
09.07.70;468.74;468.74;468.74;468.74;-0.24 %;0;0.00
10.07.70;474.09;474.09;474.09;474.09;+1.14 %;0;0.00
13.07.70;485.84;485.84;485.84;485.84;+2.48 %;0;0.00
14.07.70;481.45;481.45;481.45;481.45;-0.90 %;0;0.00
15.07.70;479.60;479.60;479.60;479.60;-0.38 %;0;0.00
16.07.70;490.68;490.68;490.68;490.68;+2.31 %;0;0.00
17.07.70;484.77;484.77;484.77;484.77;-1.20 %;0;0.00
20.07.70;477.33;477.33;477.33;477.33;-1.53 %;0;0.00
21.07.70;473.64;473.64;473.64;473.64;-0.77 %;0;0.00
22.07.70;478.03;478.03;478.03;478.03;+0.93 %;0;0.00
23.07.70;478.14;478.14;478.14;478.14;+0.02 %;0;0.00
24.07.70;484.69;484.69;484.69;484.69;+1.37 %;0;0.00
27.07.70;481.68;481.68;481.68;481.68;-0.62 %;0;0.00
28.07.70;482.42;482.42;482.42;482.42;+0.15 %;0;0.00
29.07.70;489.67;489.67;489.67;489.67;+1.50 %;0;0.00
30.07.70;490.60;490.60;490.60;490.60;+0.19 %;0;0.00
31.07.70;492.54;492.54;492.54;492.54;+0.40 %;0;0.00
03.08.70;497.15;497.15;497.15;497.15;+0.94 %;0;0.00
04.08.70;494.73;494.73;494.73;494.73;-0.49 %;0;0.00
05.08.70;499.08;499.08;499.08;499.08;+0.88 %;0;0.00
06.08.70;502.84;502.84;502.84;502.84;+0.75 %;0;0.00
07.08.70;504.18;504.18;504.18;504.18;+0.27 %;0;0.00
10.08.70;509.46;509.46;509.46;509.46;+1.05 %;0;0.00
11.08.70;508.20;508.20;508.20;508.20;-0.25 %;0;0.00
