Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,17438.990234,17572.269531,16652.740234,16666.050781,16666.050781,226100
2016-05-02,16357.099609,16357.099609,15975.469727,16147.379883,16147.379883,174500
2016-05-06,16212.669922,16271.610352,15989.349609,16106.719727,16106.719727,148100
2016-05-09,16226.570313,16292.860352,16159.309570,16216.030273,16216.030273,118800
2016-05-10,16307.500000,16587.630859,16229.150391,16565.189453,16565.189453,166500
2016-05-11,16736.720703,16814.640625,16536.609375,16579.009766,16579.009766,139200
2016-05-12,16459.689453,16658.070313,16374.589844,16646.339844,16646.339844,134500
2016-05-13,16804.169922,16804.169922,16400.869141,16412.210938,16412.210938,166500
2016-05-16,16391.919922,16632.619141,16391.919922,16466.400391,16466.400391,121300
2016-05-17,16618.949219,16655.890625,16509.310547,16652.800781,16652.800781,114100
2016-05-18,16611.400391,16795.470703,16513.169922,16644.689453,16644.689453,160100
2016-05-19,16807.460938,16841.039063,16590.160156,16646.660156,16646.660156,141600
2016-05-20,16594.990234,16770.869141,16548.339844,16736.349609,16736.349609,122500
2016-05-23,16671.279297,16691.500000,16417.839844,16654.599609,16654.599609,116500
2016-05-24,16605.039063,16605.039063,16471.369141,16498.759766,16498.759766,106400
2016-05-25,16764.349609,16806.029297,16731.119141,16757.349609,16757.349609,104200
2016-05-26,16927.689453,16957.560547,16743.169922,16772.460938,16772.460938,118300
2016-05-27,16830.500000,16901.089844,16792.730469,16834.839844,16834.839844,108400
2016-05-30,16973.720703,17068.019531,16910.189453,17068.019531,17068.019531,97300
2016-05-31,17029.460938,17251.359375,16988.640625,17234.980469,17234.980469,152000
2016-06-01,17097.220703,17145.949219,16908.919922,16955.730469,16955.730469,129700
2016-06-02,16817.259766,16819.849609,16525.470703,16562.550781,16562.550781,138500
2016-06-03,16599.509766,16716.140625,16554.599609,16642.230469,16642.230469,107300
2016-06-06,16373.320313,16581.300781,16322.639648,16580.029297,16580.029297,118500
2016-06-07,16651.050781,16701.009766,16536.230469,16675.449219,16675.449219,105700
2016-06-08,16722.490234,16830.919922,16581.710938,16830.919922,16830.919922,108700
2016-06-09,16742.029297,16785.830078,16587.769531,16668.410156,16668.410156,115500
2016-06-10,16637.509766,16643.359375,16496.109375,16601.359375,16601.359375,150400
2016-06-13,16319.110352,16335.379883,16019.179688,16019.179688,16019.179688,126200
2016-06-14,16001.190430,16082.500000,15762.089844,15859.000000,15859.000000,131700
2016-06-15,15799.070313,15997.299805,15752.009766,15919.580078,15919.580078,132700
2016-06-16,15871.219727,15913.080078,15395.980469,15434.139648,15434.139648,149600
2016-06-17,15631.790039,15774.870117,15582.940430,15599.660156,15599.660156,162200
2016-06-20,15839.059570,16035.440430,15835.860352,15965.299805,15965.299805,128000
2016-06-21,15875.809570,16202.299805,15770.959961,16169.110352,16169.110352,117300
2016-06-22,16095.809570,16160.990234,15980.650391,16065.719727,16065.719727,108300
2016-06-23,16098.610352,16263.870117,16057.860352,16238.349609,16238.349609,107500
2016-06-24,16333.870117,16389.169922,14864.009766,14952.019531,14952.019531,255100
2016-06-27,15153.080078,15323.950195,15061.660156,15309.209961,15309.209961,157000
2016-06-28,15094.709961,15443.820313,14987.790039,15323.139648,15323.139648,175500
2016-06-29,15523.349609,15626.660156,15398.309570,15566.830078,15566.830078,143000
2016-06-30,15752.709961,15781.690430,15575.919922,15575.919922,15575.919922,146200
2016-07-01,15698.019531,15765.000000,15635.570313,15682.480469,15682.480469,116300
2016-07-04,15554.040039,15805.309570,15553.919922,15775.799805,15775.799805,105200
2016-07-05,15682.160156,15702.040039,15602.730469,15669.330078,15669.330078,105900
2016-07-06,15434.459961,15434.459961,15167.980469,15378.990234,15378.990234,158400
2016-07-07,15346.809570,15418.900391,15241.910156,15276.240234,15276.240234,123500
2016-07-08,15326.839844,15399.700195,15106.519531,15106.980469,15106.980469,125600
2016-07-11,15375.940430,15816.669922,15375.940430,15708.820313,15708.820313,134700
2016-07-12,15961.299805,16237.620117,15956.910156,16095.650391,16095.650391,179500
2016-07-13,16343.000000,16444.250000,16196.440430,16231.429688,16231.429688,189700
2016-07-14,16242.200195,16398.730469,16229.259766,16385.890625,16385.890625,132000
2016-07-15,16396.119141,16607.320313,16396.119141,16497.849609,16497.849609,166700
2016-07-19,16612.089844,16726.710938,16514.660156,16723.310547,16723.310547,127700
2016-07-20,16646.919922,16692.839844,16554.029297,16681.890625,16681.890625,116900
2016-07-21,16855.179688,16938.960938,16740.000000,16810.220703,16810.220703,134800
2016-07-22,16612.900391,16691.810547,16566.980469,16627.250000,16627.250000,97800
2016-07-25,16655.810547,16778.650391,16612.330078,16620.289063,16620.289063,102900
2016-07-26,16535.810547,16535.810547,16323.099609,16383.040039,16383.040039,125500
2016-07-27,16526.060547,16821.429688,16526.060547,16664.820313,16664.820313,155500
2016-07-28,16596.150391,16616.279297,16450.279297,16476.839844,16476.839844,122600
2016-07-29,16359.679688,16679.189453,16174.349609,16569.269531,16569.269531,227600
2016-08-01,16415.310547,16677.490234,16319.150391,16635.769531,16635.769531,168900
2016-08-02,16469.679688,16541.880859,16391.449219,16391.449219,16391.449219,127900
2016-08-03,16227.280273,16275.339844,16056.669922,16083.110352,16083.110352,155400
2016-08-04,16168.339844,16270.120117,15921.040039,16254.889648,16254.889648,160000
2016-08-05,16278.990234,16355.980469,16230.700195,16254.450195,16254.450195,125500
2016-08-08,16462.289063,16652.039063,16455.570313,16650.570313,16650.570313,141600
2016-08-09,16632.410156,16779.589844,16630.560547,16764.970703,16764.970703,123700
2016-08-10,16699.080078,16822.859375,16657.589844,16735.119141,16735.119141,110400
2016-08-12,16877.179688,16943.669922,16818.429688,16919.919922,16919.919922,115500
2016-08-15,16866.890625,16932.109375,16844.580078,16869.560547,16869.560547,83700
2016-08-16,16878.660156,16887.570313,16596.509766,16596.509766,16596.509766,106700
2016-08-17,16596.259766,16772.109375,16596.259766,16745.640625,16745.640625,113900
2016-08-18,16649.910156,16714.609375,16481.410156,16486.009766,16486.009766,126500
2016-08-19,16558.380859,16613.039063,16452.619141,16545.820313,16545.820313,118200
2016-08-22,16599.259766,16631.230469,16540.939453,16598.189453,16598.189453,95300
2016-08-23,16549.820313,16663.640625,16452.009766,16497.359375,16497.359375,104400
2016-08-24,16550.210938,16648.070313,16544.390625,16597.300781,16597.300781,91100
2016-08-25,16580.150391,16628.789063,16520.839844,16555.949219,16555.949219,90100
